source_id,date,description,pollutant_ppm,biological,results
AkRu04918224,1/8/21 15:10,"Inorganic contaminants: Copper, Mercury",5.65229,0,Contaminated: Chemical
KiRu28471224,1/8/21 15:54,Inorganic contaminants: Barium,5.54799,0,Contaminated: Chemical
AkRu07713224,1/8/21 16:27,"Inorganic contaminants: Lead, Lead, Lead",4.97475,0,Contaminated: Chemical
KiRu25465224,1/9/21 10:15,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
AkRu07262224,1/9/21 10:18,Inorganic contaminants: Arsenic,8.1551,0,Contaminated: Chemical
HaRu17749224,1/9/21 10:38,Inorganic contaminants: Barium,5.43926,0,Contaminated: Chemical
HaSe21277224,1/9/21 10:46,Clean,0.0391768,3.82E-05,Clean
AkRu07933224,1/9/21 10:52,Virus: Enteroviruses,0,262.668,Contaminated: Biological
HaDe16434224,1/9/21 10:57,Bacteria: E. coli,0,15.4936,Contaminated: Biological
AkHa00744224,1/9/21 11:14,Clean,0.0370928,7.17E-05,Clean
AkKi01036224,1/9/21 11:40,"Inorganic contaminants: Barium, Mercury, Mercury",1.69538,0,Contaminated: Chemical
AkRu08868224,1/9/21 11:51,Clean,0.088961,4.38E-05,Clean
HaSe20883224,1/9/21 12:33,Clean,0.0732487,3.84E-06,Clean
SoRu37469224,1/9/21 12:36,"Inorganic contaminants: Mercury, Copper",4.78533,0,Contaminated: Chemical
AkRu06795224,1/9/21 12:58,Clean,0.0834844,8.79E-05,Clean
AkRu05768224,1/9/21 13:08,"Inorganic contaminants: Silver, Selenium, Cadmium",9.43334,0,Contaminated: Chemical
KiMr24871224,1/9/21 13:24,"Inorganic contaminants: Silver, Cadmium",5.9686,0,Contaminated: Chemical
SoRu37832224,1/9/21 13:50,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AkRu07238224,1/9/21 13:55,Clean,0.0167354,2.79E-05,Clean
KiRu29268224,1/9/21 14:17,Inorganic contaminants: Selenium,3.61361,0,Contaminated: Chemical
KiRu30187224,1/9/21 14:21,Clean,0.0116701,7.60E-05,Clean
KiMr25057224,1/9/21 14:28,Bacteria: Salmonella,0,267.371,Contaminated: Biological
AkRu04348224,1/9/21 14:30,Clean,0.0847516,9.61E-05,Clean
KiZu31261224,1/9/21 14:34,"Inorganic contaminants: Zinc, Selenium, Arsenic, Cadmium",4.98908,0,Contaminated: Chemical
HaRu19199224,1/9/21 14:45,Inorganic contaminants: Cadmium,4.43419,0,Contaminated: Chemical
KiRu29696224,1/9/21 14:47,Inorganic contaminants: Copper,8.21822,0,Contaminated: Chemical
KiRu26106224,1/9/21 14:59,Clean,0.0743687,5.24E-05,Clean
KiRu27423224,1/9/21 15:05,Bacteria: E. coli,0,21.7296,Contaminated: Biological
HaRu18078224,1/9/21 15:35,Inorganic contaminants: Arsenic,1.83791,0,Contaminated: Chemical
AkHa00555224,1/9/21 16:19,"Inorganic contaminants: Lead, Chromium",4.77361,0,Contaminated: Chemical
KiIs24152224,1/9/21 16:40,Clean,0.0570679,7.39E-05,Clean
AkRu03181224,1/10/21 9:01,Inorganic contaminants: Lead,8.90527,0,Contaminated: Chemical
SoRu35782224,1/10/21 9:13,"Inorganic contaminants: Chromium, Zinc",1.17639,0,Contaminated: Chemical
SoBa31799224,1/10/21 9:16,Bacteria: E. coli,0,12.1674,Contaminated: Biological
SoKo33085224,1/10/21 9:18,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AkRu06489224,1/10/21 9:44,Bacteria: Giardia Lamblia,0.0897904,38.467,Contaminated: Biological
AkRu06588224,1/10/21 10:03,Clean,0.082105,4.02E-05,Clean
KiRu27553224,1/10/21 10:10,"Inorganic contaminants: Mercury, Arsenic, Cadmium, Copper",1.01623,0,Contaminated: Chemical
SoRu36464224,1/10/21 10:15,Clean,0.0231531,6.37E-05,Clean
AkKi01340224,1/10/21 10:32,"Inorganic contaminants: Mercury, Barium",6.21727,0,Contaminated: Chemical
SoRu35868224,1/10/21 11:32,Virus: Enteroviruses,0,262.668,Contaminated: Biological
KiRu27574224,1/10/21 11:41,Clean,0.0356204,9.80E-05,Clean
KiRu26516224,1/10/21 11:42,Inorganic contaminants: Lead,3.30184,0,Contaminated: Chemical
AkRu04804224,1/10/21 11:50,Clean,0.0716538,9.89E-05,Clean
KiRu29881224,1/10/21 12:08,Clean,0.0739334,5.75E-07,Clean
HaRu19054224,1/10/21 12:28,Inorganic contaminants: Lead,9.60353,0,Contaminated: Chemical
AkRu06446224,1/10/21 12:36,"Inorganic contaminants: Lead, Silver, Zinc, Zinc",3.14474,0,Contaminated: Chemical
AkHa00720224,1/10/21 13:17,"Inorganic contaminants: Lead, Silver, Silver",4.05258,0,Contaminated: Chemical
HaRu17250224,1/10/21 13:18,Inorganic contaminants: Selenium,5.75138,0,Contaminated: Chemical
SoRu37976224,1/10/21 13:29,Clean,0.0766173,6.11E-06,Clean
KiRu29735224,1/10/21 13:29,"Inorganic contaminants: Copper, Silver, Copper",3.39177,0,Contaminated: Chemical
HaRu18169224,1/10/21 13:41,"Inorganic contaminants: Zinc, Arsenic, Lead",3.775,0,Contaminated: Chemical
AkLu01843224,1/10/21 14:28,Bacteria: Salmonella,0,267.371,Contaminated: Biological
KiZu31025224,1/10/21 14:36,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
HaRu17281224,1/10/21 14:59,Bacteria: Salmonella,0,267.371,Contaminated: Biological
KiRu29286224,1/10/21 15:11,Clean,0.0645078,2.88E-05,Clean
AkRu07378224,1/10/21 15:17,Bacteria: Shigella,0,318.664,Contaminated: Biological
AmAb09174224,1/10/21 15:58,Virus: Enteroviruses,0,262.668,Contaminated: Biological
KiRu29107224,1/10/21 16:10,Clean,0.0806449,2.58E-05,Clean
KiHa23382224,1/10/21 16:48,"Inorganic contaminants: Zinc, Chromium, Chromium, Zinc",3.42129,0,Contaminated: Chemical
HaDe16509224,1/10/21 16:49,Bacteria: E. coli,0,45.6479,Contaminated: Biological
AkRu08423224,1/10/21 16:49,Clean,0.0335904,4.25E-05,Clean
KiHa22644224,1/11/21 9:04,Bacteria: E. coli,0,41.7373,Contaminated: Biological
HaRu19788224,1/11/21 9:16,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
HaYa21569224,1/11/21 9:58,"Inorganic contaminants: Chromium, Mercury",7.90732,0,Contaminated: Chemical
AmRu14471224,1/11/21 10:07,Clean,0.072325,3.50E-05,Clean
KiRu28027224,1/11/21 10:20,"Inorganic contaminants: Chromium, Chromium, Zinc, Cadmium",3.0002,0,Contaminated: Chemical
HaSe21227224,1/11/21 10:33,Clean,0.0417335,4.75E-05,Clean
KiIs24000224,1/11/21 10:33,Bacteria: E. coli,0,21.7428,Contaminated: Biological
KiRu28560224,1/11/21 10:36,Bacteria: Salmonella,0,267.371,Contaminated: Biological
AkRu07336224,1/11/21 10:50,Clean,0.0852829,3.25E-05,Clean
AmRu15108224,1/11/21 11:43,Clean,0.0737846,2.02E-05,Clean
SoRu38539224,1/11/21 11:57,"Inorganic contaminants: Cadmium, Lead",2.53453,0,Contaminated: Chemical
AkLu01724224,1/11/21 11:58,Clean,0.0905594,3.58E-06,Clean
SoKo33099224,1/11/21 12:01,Bacteria: E. coli,0,33.5022,Contaminated: Biological
SoRu36015224,1/11/21 12:24,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
AkRu08461224,1/11/21 12:52,Clean,0.0590685,5.72E-05,Clean
AkRu07777224,1/11/21 13:09,"Inorganic contaminants: Selenium, Chromium, Cadmium, Arsenic",4.23468,0,Contaminated: Chemical
KiMr25237224,1/11/21 14:03,Bacteria: E. coli,0,2.2825,Contaminated: Biological
KiAm22506224,1/11/21 14:18,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
AkRu03824224,1/11/21 14:37,"Inorganic contaminants: Mercury, Silver, Chromium",7.80671,0,Contaminated: Chemical
HaDj16669224,1/11/21 15:08,"Inorganic contaminants: Selenium, Lead, Mercury, Copper",9.17495,0,Contaminated: Chemical
KiAm22029224,1/11/21 15:28,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
AkLu02631224,1/11/21 15:42,Bacteria: Salmonella,0,267.371,Contaminated: Biological
SoKo33117224,1/11/21 16:16,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
AmDa12215224,1/11/21 16:19,Inorganic contaminants: Selenium,2.90509,0,Contaminated: Chemical
HaRu18270224,1/11/21 16:23,Clean,0.0779955,7.51E-05,Clean
HaRu19953224,1/11/21 16:24,Clean,0.0994519,3.78E-06,Clean
AmRu14093224,1/11/21 16:35,"Inorganic contaminants: Barium, Copper",8.54974,0,Contaminated: Chemical
SoIl32783224,1/14/21 9:01,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
KiAm22435224,1/14/21 9:40,Bacteria: E. coli,0,10.9059,Contaminated: Biological
SoRu39284224,1/14/21 10:02,"Inorganic contaminants: Selenium, Selenium, Chromium",7.22682,0,Contaminated: Chemical
AkRu08079224,1/14/21 10:32,Clean,0.0390617,9.38E-05,Clean
KiZu30767224,1/14/21 10:33,Clean,0.0537728,5.75E-05,Clean
SoRu39059224,1/14/21 11:01,Bacteria: Shigella,0,318.664,Contaminated: Biological
AmRu14320224,1/14/21 11:29,Inorganic contaminants: Mercury,5.73406,0,Contaminated: Chemical
HaYa21472224,1/14/21 11:58,Inorganic contaminants: Copper,6.97992,0,Contaminated: Chemical
HaRu18653224,1/14/21 12:05,"Inorganic contaminants: Lead, Silver, Barium",1.0886,0,Contaminated: Chemical
AkRu07205224,1/14/21 12:27,Clean,0.0554037,6.04E-06,Clean
AkLu02624224,1/14/21 12:28,Clean,0.0156032,5.78E-05,Clean
SoRu37764224,1/14/21 13:49,"Inorganic contaminants: Lead, Cadmium, Barium, Zinc",3.63726,0,Contaminated: Chemical
AkLu02027224,1/14/21 13:55,Clean,0.0353978,7.10E-05,Clean
AmRu15874224,1/14/21 13:58,Inorganic contaminants: Selenium,5.5964,0,Contaminated: Chemical
HaRu18534224,1/14/21 14:01,"Inorganic contaminants: Mercury, Zinc, Chromium",9.87175,0,Contaminated: Chemical
KiRu30250224,1/14/21 14:10,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AkRu05653224,1/14/21 14:26,"Inorganic contaminants: Zinc, Lead, Zinc",1.44878,0,Contaminated: Chemical
KiIs24201224,1/14/21 14:52,Bacteria: Salmonella,0,267.371,Contaminated: Biological
SoIl32316224,1/14/21 15:08,Inorganic contaminants: Chromium,6.77138,0,Contaminated: Chemical
AmRu14855224,1/14/21 15:14,"Inorganic contaminants: Selenium, Silver, Lead, Silver",1.18561,0,Contaminated: Chemical
SoRu38011224,1/14/21 15:35,Bacteria: E. coli,0.0425095,19.2897,Contaminated: Biological
AkKi00956224,1/14/21 15:51,Clean,0.0570491,9.43E-05,Clean
AkRu07593224,1/14/21 16:03,Clean,0.0616449,2.71E-05,Clean
KiAm22595224,1/14/21 16:11,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
SoKo33490224,1/14/21 16:19,Clean,0.0891103,5.25E-05,Clean
HaRu20399224,1/14/21 16:27,"Inorganic contaminants: Selenium, Barium, Silver",8.08959,0,Contaminated: Chemical
SoRu35787224,1/14/21 16:35,"Inorganic contaminants: Silver, Barium, Arsenic, Mercury",6.46868,0,Contaminated: Chemical
KiRu27475224,1/14/21 16:44,Inorganic contaminants: Cadmium,5.22919,0,Contaminated: Chemical
HaRu18624224,1/15/21 9:13,Inorganic contaminants: Selenium,9.14739,0,Contaminated: Chemical
SoIl32438224,1/15/21 9:27,"Inorganic contaminants: Barium, Zinc, Lead, Mercury",7.55974,0,Contaminated: Chemical
SoRu35626224,1/15/21 9:46,Bacteria: Shigella,0,318.664,Contaminated: Biological
KiIs24134224,1/15/21 9:52,Bacteria: E. coli,0,47.6822,Contaminated: Biological
AkRu06865224,1/15/21 10:44,Clean,0.0290103,8.14E-05,Clean
SoCh32221224,1/15/21 10:45,Clean,0.0224974,4.92E-05,Clean
KiMr24409224,1/15/21 10:55,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
AkLu02603224,1/15/21 11:21,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
KiRu26397224,1/15/21 11:24,Clean,0.0273801,2.14E-06,Clean
AkRu04050224,1/15/21 11:28,"Inorganic contaminants: Arsenic, Copper",7.68968,0,Contaminated: Chemical
KiRu30227224,1/15/21 11:30,"Inorganic contaminants: Lead, Mercury",7.73566,0,Contaminated: Chemical
AkKi01415224,1/15/21 11:33,Inorganic contaminants: Chromium,7.12503,0,Contaminated: Chemical
AkRu06897224,1/15/21 11:38,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
KiIs24157224,1/15/21 12:23,Clean,0.0720096,6.30E-05,Clean
KiMr24370224,1/15/21 12:23,Bacteria: Salmonella,0,267.371,Contaminated: Biological
SoRu35656224,1/15/21 12:28,Bacteria: Shigella,0,318.664,Contaminated: Biological
KiRu30623224,1/15/21 12:37,"Inorganic contaminants: Cadmium, Silver, Arsenic, Barium",7.84951,0,Contaminated: Chemical
HaAm16100224,1/15/21 12:54,Inorganic contaminants: Lead,6.29586,0,Contaminated: Chemical
AmDa11899224,1/15/21 12:54,"Inorganic contaminants: Cadmium, Silver",5.07338,0,Contaminated: Chemical
AkLu02519224,1/15/21 13:35,"Inorganic contaminants: Zinc, Selenium, Cadmium, Chromium",7.07081,0,Contaminated: Chemical
KiMr24477224,1/15/21 13:49,"Inorganic contaminants: Barium, Selenium, Silver, Barium",6.11705,0,Contaminated: Chemical
AkRu08902224,1/15/21 13:57,Bacteria: Shigella,0,318.664,Contaminated: Biological
KiRu26690224,1/15/21 14:06,Clean,0.0238157,8.43E-06,Clean
SoRu37335224,1/15/21 14:51,"Inorganic contaminants: Zinc, Chromium, Silver, Silver",9.94108,0,Contaminated: Chemical
KiAm22466224,1/15/21 15:16,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
KiIs24216224,1/15/21 15:23,"Inorganic contaminants: Silver, Lead",9.41989,0,Contaminated: Chemical
KiRu25865224,1/15/21 15:34,Clean,0.0636227,5.33E-05,Clean
AmRu13745224,1/15/21 16:00,Clean,0.0499675,4.10E-05,Clean
HaRu19301224,1/15/21 16:09,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
AkRu07809224,1/15/21 16:18,Clean,0.0790458,4.52E-05,Clean
HaRu20279224,1/16/21 9:43,Clean,0.0508663,3.07E-06,Clean
KiRu28623224,1/16/21 10:21,Bacteria: E. coli,0,5.69337,Contaminated: Biological
AkRu08226224,1/16/21 10:32,Clean,0.0278835,7.97E-05,Clean
KiAm22458224,1/16/21 10:50,Inorganic contaminants: Chromium,6.24849,0,Contaminated: Chemical
AkRu06525224,1/16/21 10:55,"Inorganic contaminants: Arsenic, Chromium, Mercury, Silver",2.62397,0,Contaminated: Chemical
HaRu19140224,1/16/21 11:02,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
AmRu15014224,1/16/21 11:07,"Inorganic contaminants: Lead, Cadmium, Barium",2.97674,0,Contaminated: Chemical
AmAs10811224,1/16/21 11:27,Clean,0.0584376,8.93E-05,Clean
KiRu25399224,1/16/21 11:39,Clean,0.0909659,7.46E-06,Clean
AmRu13253224,1/16/21 11:51,Clean,0.0741615,6.94E-05,Clean
KiRu25422224,1/16/21 12:17,Virus: Enteroviruses,0,262.668,Contaminated: Biological
KiRu30503224,1/16/21 12:35,"Inorganic contaminants: Lead, Chromium, Copper",6.1822,0,Contaminated: Chemical
HaDj16966224,1/16/21 12:39,"Inorganic contaminants: Copper, Zinc, Chromium",5.48888,0,Contaminated: Chemical
KiRu30367224,1/16/21 12:57,Clean,0.0636818,2.44E-05,Clean
HaSe21155224,1/16/21 13:37,Clean,0.0629153,1.40E-05,Clean
SoRu36575224,1/16/21 13:41,Bacteria: Shigella,0,318.664,Contaminated: Biological
HaRu20522224,1/16/21 14:21,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
KiMr24574224,1/16/21 14:51,Virus: Enteroviruses,0,262.668,Contaminated: Biological
SoRu38598224,1/16/21 15:03,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AkKi01118224,1/16/21 16:09,Bacteria: E. coli,0,35.4201,Contaminated: Biological
HaRu17300224,1/16/21 16:47,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
AkRu03971224,1/16/21 16:52,Clean,0.0661429,9.66E-05,Clean
SoRu35499224,1/17/21 9:13,Inorganic contaminants: Lead,4.78707,0,Contaminated: Chemical
HaSe21055224,1/17/21 9:18,Clean,0.038537,4.13E-05,Clean
KiRu25542224,1/17/21 9:45,"Inorganic contaminants: Zinc, Copper, Selenium, Copper",1.57204,0,Contaminated: Chemical
AkRu03812224,1/17/21 10:11,Inorganic contaminants: Copper,4.53513,0,Contaminated: Chemical
KiAm21953224,1/17/21 10:23,"Inorganic contaminants: Mercury, Copper, Arsenic",7.83861,0,Contaminated: Chemical
AkRu05433224,1/17/21 10:54,"Inorganic contaminants: Zinc, Zinc",7.92969,0,Contaminated: Chemical
AkRu04210224,1/17/21 11:09,"Inorganic contaminants: Zinc, Mercury, Lead",7.36311,0,Contaminated: Chemical
KiZu31088224,1/17/21 11:40,Bacteria: Shigella,0,318.664,Contaminated: Biological
KiRu27844224,1/17/21 12:08,"Inorganic contaminants: Lead, Cadmium, Zinc",6.36837,0,Contaminated: Chemical
SoRu37168224,1/17/21 13:11,"Inorganic contaminants: Lead, Mercury, Lead",3.40367,0,Contaminated: Chemical
AkRu02991224,1/17/21 13:12,"Inorganic contaminants: Zinc, Chromium, Selenium",3.20541,0,Contaminated: Chemical
SoRu36665224,1/17/21 13:21,Bacteria: E. coli,0,10.0204,Contaminated: Biological
AmRu13868224,1/17/21 13:32,Clean,0.0638814,1.64E-05,Clean
AkRu05426224,1/17/21 14:19,Clean,0.0168935,5.83E-05,Clean
HaRu18425224,1/17/21 14:48,Bacteria: Salmonella,0,267.371,Contaminated: Biological
SoCh32157224,1/17/21 15:02,"Inorganic contaminants: Cadmium, Barium, Arsenic, Lead",6.46589,0,Contaminated: Chemical
AmRu13190224,1/17/21 15:27,Clean,0.0105334,4.21E-05,Clean
HaSe21183224,1/17/21 16:03,Clean,0.0392653,3.56E-05,Clean
AkRu07487224,1/17/21 16:04,"Inorganic contaminants: Selenium, Chromium, Mercury",6.08516,0,Contaminated: Chemical
KiIs23896224,1/17/21 16:21,Virus: Enteroviruses,0,262.668,Contaminated: Biological
SoRu36568224,1/17/21 16:23,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
AmAm09867224,1/17/21 16:25,Inorganic contaminants: Copper,1.82069,0,Contaminated: Chemical
AmRu13885224,1/18/21 9:19,"Inorganic contaminants: Zinc, Chromium",8.01733,0,Contaminated: Chemical
AkLu02615224,1/18/21 9:19,Clean,0.029639,5.18E-05,Clean
HaRu19654224,1/18/21 9:29,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
KiHa23423224,1/18/21 9:37,Bacteria: E. coli,0,43.8418,Contaminated: Biological
SoRu39300224,1/18/21 9:39,Clean,0.0701769,5.21E-05,Clean
SoRu35543224,1/18/21 9:49,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
HaAm16014224,1/18/21 9:59,"Inorganic contaminants: Cadmium, Zinc, Lead, Silver",7.28506,0,Contaminated: Chemical
KiMr24963224,1/18/21 10:20,Bacteria: Shigella,0,318.664,Contaminated: Biological
HaRu19943224,1/18/21 10:20,Bacteria: Salmonella,0,267.371,Contaminated: Biological
AkRu07725224,1/18/21 11:05,"Inorganic contaminants: Selenium, Cadmium, Arsenic, Copper",3.57156,0,Contaminated: Chemical
AkRu04382224,1/18/21 11:39,"Inorganic contaminants: Arsenic, Zinc, Arsenic",9.70098,0,Contaminated: Chemical
SoRu35893224,1/18/21 11:46,"Inorganic contaminants: Lead, Chromium, Lead, Lead",5.3872,0,Contaminated: Chemical
AkRu06256224,1/18/21 12:15,"Inorganic contaminants: Selenium, Copper, Copper",3.34718,0,Contaminated: Chemical
AmRu15508224,1/18/21 12:21,"Inorganic contaminants: Silver, Zinc",8.71727,0,Contaminated: Chemical
KiRu26742224,1/18/21 12:29,Clean,0.0384882,5.12E-06,Clean
HaAm16134224,1/18/21 12:35,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
KiRu25677224,1/18/21 12:39,"Inorganic contaminants: Arsenic, Copper, Copper, Selenium",6.16335,0,Contaminated: Chemical
SoMa33975224,1/18/21 13:10,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
AkRu07996224,1/18/21 13:11,"Inorganic contaminants: Selenium, Lead, Silver, Arsenic",4.09866,0,Contaminated: Chemical
SoRu39492224,1/18/21 13:13,Clean,0.0250624,6.93E-05,Clean
AmRu13820224,1/18/21 13:19,"Inorganic contaminants: Zinc, Zinc, Arsenic, Lead",2.13401,0,Contaminated: Chemical
HaDe16647224,1/18/21 13:24,Clean,0.0217769,3.13E-05,Clean
AkRu08421224,1/18/21 13:40,Inorganic contaminants: Chromium,6.38128,0,Contaminated: Chemical
HaRu20817224,1/18/21 14:14,"Inorganic contaminants: Cadmium, Mercury, Lead, Cadmium",6.01752,0,Contaminated: Chemical
AkRu04212224,1/18/21 15:31,Inorganic contaminants: Copper,5.18686,0,Contaminated: Chemical
HaZa21826224,1/18/21 16:14,Bacteria: E. coli,0,39.1477,Contaminated: Biological
KiRu26824224,1/18/21 16:28,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
AkRu05965224,1/21/21 9:17,Clean,0.064792,4.83E-05,Clean
KiRu27392224,1/21/21 9:51,Clean,0.0547525,4.78E-05,Clean
SoRu35381224,1/21/21 10:17,Clean,0.032228,9.39E-05,Clean
HaRu17317224,1/21/21 10:21,"Inorganic contaminants: Arsenic, Silver",4.09391,0,Contaminated: Chemical
SoKo33273224,1/21/21 10:24,"Inorganic contaminants: Arsenic, Mercury, Silver",4.40905,0,Contaminated: Chemical
KiIs23873224,1/21/21 10:38,Bacteria: E. coli,0,14.2131,Contaminated: Biological
